text,label
"Attention User49,

We've noticed unusual activity. Please reset your password here: http://update-account.example.net/reset?u=000049

Thank you.",1
"Dear User94,

Please find the meeting notes attached. Let me know if you want to schedule a follow-up.

Regards,
Alice",0
"Hello User158,

Your request has been processed. The shipment tracking number is TRK00158.

Thanks,
Alice",0
"Hello User164,

Your request has been processed. The shipment tracking number is TRK00164.

Thanks,
Alice",0
"Attention User46,

We've noticed unusual activity. Please reset your password here: http://update-account.example.net/reset?u=000046

Thank you.",1
"Attention User28,

We've noticed unusual activity. Please reset your password here: http://update-account.example.net/reset?u=000028

Thank you.",1
"Dear User190,

Please find the meeting notes attached. Let me know if you want to schedule a follow-up.

Regards,
Alice",0
"Hello User122,

Your request has been processed. The shipment tracking number is TRK00122.

Thanks,
Alice",0
"Dear User57,

Your account has been suspended. Click https://secure-login.example.com/000057 to verify your details immediately or your access will be revoked.

Sincerely,
Support Team",1
"Hello,

You have an unpaid invoice. View it now at https://invoice-pay.example.org/invoice/000092

Billing Dept.",1
"Hi User192,

Thanks for your message. I'll review the attached file and follow up by end of day.

Best,
Alice",0
"Dear User105,

Your account has been suspended. Click https://secure-login.example.com/000105 to verify your details immediately or your access will be revoked.

Sincerely,
Support Team",1
"Hello User38,

Your request has been processed. The shipment tracking number is TRK00038.

Thanks,
Alice",0
"Dear User138,

Your account has been suspended. Click https://secure-login.example.com/000138 to verify your details immediately or your access will be revoked.

Sincerely,
Support Team",1
"Dear User147,

Your account has been suspended. Click https://secure-login.example.com/000147 to verify your details immediately or your access will be revoked.

Sincerely,
Support Team",1
"Hello,

You have an unpaid invoice. View it now at https://invoice-pay.example.org/invoice/000164

Billing Dept.",1
"Dear User43,

Please find the meeting notes attached. Let me know if you want to schedule a follow-up.

Regards,
Alice",0
"Hello,

You have an unpaid invoice. View it now at https://invoice-pay.example.org/invoice/000017

Billing Dept.",1
"Hi User99,

Thanks for your message. I'll review the attached file and follow up by end of day.

Best,
Alice",0
"Hello User53,

Your request has been processed. The shipment tracking number is TRK00053.

Thanks,
Alice",0
"Hello,

You have an unpaid invoice. View it now at https://invoice-pay.example.org/invoice/000071

Billing Dept.",1
"Dear User169,

Please find the meeting notes attached. Let me know if you want to schedule a follow-up.

Regards,
Alice",0
"Dear User51,

Your account has been suspended. Click https://secure-login.example.com/000051 to verify your details immediately or your access will be revoked.

Sincerely,
Support Team",1
"Hello User77,

Your request has been processed. The shipment tracking number is TRK00077.

Thanks,
Alice",0
"Hi User9,

Thanks for your message. I'll review the attached file and follow up by end of day.

Best,
Alice",0
"Hello User68,

Your request has been processed. The shipment tracking number is TRK00068.

Thanks,
Alice",0
"Hi User198,

Thanks for your message. I'll review the attached file and follow up by end of day.

Best,
Alice",0
"Hello User2,

Your request has been processed. The shipment tracking number is TRK00002.

Thanks,
Alice",0
"Hello,

You have an unpaid invoice. View it now at https://invoice-pay.example.org/invoice/000167

Billing Dept.",1
"Attention User172,

We've noticed unusual activity. Please reset your password here: http://update-account.example.net/reset?u=000172

Thank you.",1
"Hello,

You have an unpaid invoice. View it now at https://invoice-pay.example.org/invoice/000059

Billing Dept.",1
"Hello,

You have an unpaid invoice. View it now at https://invoice-pay.example.org/invoice/000053

Billing Dept.",1
"Hello,

You have an unpaid invoice. View it now at https://invoice-pay.example.org/invoice/000044

Billing Dept.",1
"Dear User9,

Your account has been suspended. Click https://secure-login.example.com/000009 to verify your details immediately or your access will be revoked.

Sincerely,
Support Team",1
"Dear User55,

Please find the meeting notes attached. Let me know if you want to schedule a follow-up.

Regards,
Alice",0
"Dear User34,

Please find the meeting notes attached. Let me know if you want to schedule a follow-up.

Regards,
Alice",0
"Attention User154,

We've noticed unusual activity. Please reset your password here: http://update-account.example.net/reset?u=000154

Thank you.",1
"Hello,

You have an unpaid invoice. View it now at https://invoice-pay.example.org/invoice/000080

Billing Dept.",1
"Hello User59,

Your request has been processed. The shipment tracking number is TRK00059.

Thanks,
Alice",0
"Attention User43,

We've noticed unusual activity. Please reset your password here: http://update-account.example.net/reset?u=000043

Thank you.",1
"Dear User186,

Your account has been suspended. Click https://secure-login.example.com/000186 to verify your details immediately or your access will be revoked.

Sincerely,
Support Team",1
"Hello,

You have an unpaid invoice. View it now at https://invoice-pay.example.org/invoice/000089

Billing Dept.",1
"Dear User30,

Your account has been suspended. Click https://secure-login.example.com/000030 to verify your details immediately or your access will be revoked.

Sincerely,
Support Team",1
"Dear User180,

Your account has been suspended. Click https://secure-login.example.com/000180 to verify your details immediately or your access will be revoked.

Sincerely,
Support Team",1
"Hello User29,

Your request has been processed. The shipment tracking number is TRK00029.

Thanks,
Alice",0
